month,SDII
1989-12,2.6918226672757057e-05
1990-01,2.4029381044449343
1990-02,1.907785143171038
1990-03,2.1213255851499495
1990-04,7.439156087239583
1990-05,1.7113800048828125
1990-06,0.6457050323486329
1990-07,0.6411383844191029
1990-08,0.4968777318154612
1990-09,1.7185967763264973
1990-10,7.338093419228831
1990-11,9.56406758626302
1990-12,6.5663496448147685
1991-01,1.1112226670788181
1991-02,6.393850599016462
1991-03,2.4346923828125
1991-04,6.083772786458334
1991-05,5.7459869384765625
1991-06,1.6169625600179036
1991-07,2.7298446163054435
1991-08,0.4847050328408518
1991-09,1.4196296691894532
1991-10,9.454384096207157
1991-11,15.967551676432292
1991-12,1.7604637145996094
1992-01,1.4791951333322833
1992-02,1.2038803100585938
1992-03,2.7650882351783013
1992-04,6.904318237304688
1992-05,0.880112555719191
1992-06,3.0745803833007814
1992-07,1.2350542622227823
1992-08,0.2343616177958827
1992-09,2.020867665608724
1992-10,14.043371385143649
1992-11,5.993634033203125
1992-12,3.741308396862399
1993-01,0.7171419205204133
1993-02,0.7314383643014091
1993-03,4.6899724160471274
1993-04,2.3746546427408854
1993-05,2.094268798828125
1993-06,0.559965705871582
1993-07,0.9161715353688886
1993-08,0.6199748131536669
1993-09,5.053953043619791
1993-10,7.729124992124496
1993-11,8.878340657552084
1993-12,9.73200447328629
1994-01,4.7365195981917845
1994-02,5.345588684082031
1994-03,0.6226724193942162
1994-04,8.618426513671874
1994-05,2.1081720167590725
1994-06,1.373751703898112
1994-07,0.7607802114179057
1994-08,1.259671118951613
1994-09,2.6403170267740887
1994-10,3.2842810846144155
1994-11,2.530461629231771
1994-12,2.8992698423324095
1995-01,5.877538865612399
1995-02,3.7234766823904857
1995-03,7.9388570477885585
1995-04,3.767994689941406
1995-05,4.190173733618952
1995-06,1.9404988606770834
1995-07,2.1466207196635585
1995-08,6.675617833291331
1995-09,5.896476745605469
1995-10,0.10012042137884325
1995-11,4.473738098144532
1995-12,10.795320572391633
1996-01,7.058743384576613
1996-02,6.485694096006196
1996-03,5.0948284518334175
1996-04,7.571018473307292
1996-05,3.241725798576109
1996-06,1.0273316701253254
1996-07,0.22099095006142894
1996-08,2.817628922001008
1996-09,8.358803304036458
1996-10,7.183928458921371
1996-11,13.537559000651042
1996-12,7.417278658959173
1997-01,3.7436038601783013
1997-02,3.3739166259765625
1997-03,2.009768578314012
1997-04,4.237202962239583
1997-05,2.2144182266727572
1997-06,0.4402378718058268
1997-07,1.1441534719159525
1997-08,1.0213101910006614
1997-09,0.7648867289225261
1997-10,4.6619523571383565
1997-11,6.699285888671875
1997-12,7.32525142546623
1998-01,2.9476960705172632
1998-02,3.226752689906529
1998-03,0.5135670631162582
1998-04,5.906627400716146
1998-05,3.8101688508064515
1998-06,1.090979512532552
1998-07,0.5987787554340978
1998-08,2.00085695328251
1998-09,10.350862630208333
1998-10,11.616675592237904
1998-11,7.974918619791667
1998-12,4.817208566973286
1999-01,4.449160668157762
1999-02,5.1608172825404575
1999-03,3.978420134513609
1999-04,6.329712931315104
1999-05,1.3770209281675276
1999-06,3.4966051737467447
1999-07,1.3818509501795615
1999-08,1.4076060633505545
1999-09,2.259093475341797
1999-10,3.549379410282258
1999-11,9.089298502604167
1999-12,14.270289267263104
2000-01,1.7922886263939641
2000-02,2.7139576879040948
2000-03,3.566315189484627
2000-04,3.353254191080729
2000-05,0.9499193006946195
2000-06,0.4664421717325846
2000-07,1.8420663649036038
2000-08,0.2431388824216781
2000-09,4.327929178873698
2000-10,8.72738745904738
2000-11,14.71608174641927
2000-12,10.267146941154234
2001-01,9.771801364037298
2001-02,5.096743992396763
2001-03,4.6087602184664815
2001-04,6.419762166341146
2001-05,2.260748586347026
2001-06,1.773108927408854
2001-07,0.5989440179640247
2001-08,0.31486443550355975
2001-09,8.486412556966146
2001-10,1.0113158687468498
2001-11,9.605311075846354
2001-12,3.7549236666771675
2002-01,4.27656013734879
2002-02,4.213530949183872
2002-03,1.347747556624874
2002-04,5.761808776855469
2002-05,3.3308250673355593
2002-06,1.651906967163086
2002-07,2.4319061771515877
2002-08,6.509077502835181
2002-09,9.186179606119792
2002-10,10.277942288306452
2002-11,7.101939900716146
2002-12,7.3219058129095265
2003-01,9.866449171496976
2003-02,3.3353563036237444
2003-03,0.31374537560247606
2003-04,4.027050526936849
2003-05,0.6753917201872794
2003-06,0.8231282552083333
2003-07,0.25405037787652784
2003-08,0.46476619474349484
2003-09,4.456278483072917
2003-10,10.98550513482863
2003-11,12.779379272460938
2003-12,4.7396402666645665
2004-01,7.34687755953881
2004-02,8.551015919652478
2004-03,7.572825770224294
2004-04,6.580160013834635
2004-05,4.71104972593246
2004-06,2.3355171203613283
2004-07,1.0172147443217616
2004-08,2.031389421032321
2004-09,3.8488011678059895
2004-10,6.089468679120464
2004-11,9.3638916015625
2004-12,8.96976790889617
2005-01,3.4053977227980092
2005-02,10.087200709751674
2005-03,5.3649277225617436
2005-04,4.5038299560546875
2005-05,1.9028125885994203
2005-06,1.8084069569905599
2005-07,1.7359968616116432
2005-08,3.258661085559476
2005-09,4.8437042236328125
2005-10,4.087005369124874
2005-11,8.480463663736979
2005-12,11.929235642956149
2006-01,3.978856240549395
2006-02,6.646466936383929
2006-03,6.222051805065524
2006-04,3.9794960021972656
2006-05,1.5547159256473664
2006-06,2.026780192057292
2006-07,0.8295736005229335
2006-08,4.13213126890121
2006-09,5.140973917643229
2006-10,1.8654428297473538
2006-11,4.041564432779948
2006-12,6.433973743069556
2007-01,5.0976025981287805
2007-02,7.657798767089844
2007-03,5.2111762262159775
2007-04,1.1962613423665365
2007-05,3.7469479960779988
2007-06,0.9411396026611328
2007-07,0.2679998028662897
2007-08,0.806504649500693
2007-09,6.783698018391927
2007-10,5.994823824974798
2007-11,7.100762430826823
2007-12,4.93812019594254
2008-01,5.7397583992250505
2008-02,2.994958811792834
2008-03,7.377228767641129
2008-04,4.159831746419271
2008-05,1.4925252852901336
2008-06,2.6184282938639325
2008-07,0.9534071030155304
2008-08,0.15732742124988186
2008-09,2.4428426106770833
2008-10,6.746900004725302
2008-11,8.933170572916667
2008-12,9.327336465158771
2009-01,9.479491203061995
2009-02,6.309480939592634
2009-03,5.443960866620464
2009-04,2.8161387125651043
2009-05,1.3184162262947328
2009-06,5.9908910115559895
2009-07,0.9662798604657573
2009-08,0.5970462676017515
2009-09,1.3047018686930338
2009-10,11.673316217237904
2009-11,7.990062459309896
2009-12,10.383008403162803
2010-01,11.561990061113912
2010-02,10.849841526576451
2010-03,6.4957181869014615
2010-04,5.09972178141276
2010-05,4.9441149311680945
2010-06,2.2284311930338543
2010-07,0.5188315606886341
2010-08,0.5393643533029864
2010-09,5.5092615763346355
2010-10,7.3957307877079135
2010-11,16.31189473470052
2010-12,8.910566760647681
2011-01,2.5765855850711947
2011-02,3.5425851004464284
2011-03,3.6149944182365172
2011-04,1.4980475107828777
2011-05,3.2664652178364415
2011-06,0.9504913965861003
2011-07,3.0980647917716735
2011-08,0.10082029527233492
2011-09,1.9936204274495444
2011-10,2.8194301974388862
2011-11,2.749450937906901
2011-12,7.6233929049584175
2012-01,2.491614557081653
2012-02,6.104210162984914
2012-03,0.24296199121782858
2012-04,8.593349202473958
2012-05,4.0385451778288814
2012-06,0.5479356129964192
2012-07,0.44148008285030244
2012-08,0.05915857130481351
2012-09,4.766801961263021
2012-10,10.196478074596774
2012-11,8.325900268554687
2012-12,7.716899256552419
2013-01,10.512702203566029
2013-02,12.760065351213727
2013-03,11.416029407132056
2013-04,5.542506408691406
2013-05,5.5936038109564015
2013-06,2.107459131876628
2013-07,0.5992383033998551
2013-08,2.9831683251165573
2013-09,5.714599100748698
2013-10,4.790154241746472
2013-11,12.30771993001302
2013-12,2.4925721691500757
2014-01,11.950081117691532
2014-02,6.652266911097935
2014-03,2.900610154674899
2014-04,4.053449757893881
2014-05,2.7007729314988658
2014-06,6.0629826863606775
2014-07,3.70098876953125
2014-08,1.0293607404155116
2014-09,9.294959513346354
2014-10,3.0843267133159022
2014-11,8.54603271484375
2014-12,8.557773713142641
2015-01,8.052368656281502
2015-02,5.275325230189732
2015-03,5.335106634324597
2015-04,1.8377066294352213
2015-05,1.3248535894578504
2015-06,1.1735518137613932
2015-07,0.239345335191296
2015-08,2.311852239793347
2015-09,1.386205291748047
2015-10,11.52030501827117
2015-11,3.429101053873698
2015-12,0.019504177954889113
2016-01,6.3728248842300905
2016-02,8.967820792362607
2016-03,6.6688394854145665
2016-04,2.5000333150227863
2016-05,5.47992435578377
2016-06,2.731622823079427
2016-07,1.6235687501968876
2016-08,0.6971014699628276
2016-09,3.311534372965495
2016-10,7.83355220671623
2016-11,7.9818364461263025
2016-12,0.0788050313149729
2017-01,3.1136870845671623
2017-02,6.630523136683872
2017-03,3.2654842253654235
2017-04,3.593885803222656
2017-05,1.6695703075778099
2017-06,0.4309356689453125
2017-07,0.8143397915747858
2017-08,0.09296017308388987
2017-09,4.710761515299479
2017-10,1.7709444107547883
2017-11,8.993666585286459
2017-12,8.975880284463205
2018-01,4.681545134513609
2018-02,9.311502729143415
2018-03,14.436366911857359
2018-04,0.8774360020955404
2018-05,3.100831554782006
2018-06,3.078283182779948
2018-07,1.0381859810121599
2018-08,1.6805990895917338
2018-09,0.8124828338623047
2018-10,6.962476176600302
2018-11,9.630905151367188
2018-12,3.5381085795740925
2019-01,4.7024255567981355
2019-02,3.4105330875941684
2019-03,1.5030523730862526
2019-04,8.605110677083333
2019-05,7.365082771547379
2019-06,0.8718212127685547
2019-07,2.0660584972750757
2019-08,0.20134064459031628
2019-09,3.6637601216634113
2019-10,1.3628907972766506
2019-11,20.214912923177085
2019-12,6.36004638671875
